,ID,direct_trip,number_of_adults,number_of_children,type_of_meal_plan,people_with_disabilities,class,year,month,date,repeated_guest,np_cancellations,np_not_canceled,price,status
10016,DZ10017,Yes,2,0,not selected,0,Type 1,2023,8,13,No,0,0,1690.0,Not_Canceled
10017,DZ10018,Yes,2,1,plan 1,0,Type 5,2023,4,5,No,0,0,968.6,Canceled
10018,DZ10019,No,2,2,plan 1,0,Type 1,2023,6,16,No,0,0,1391.0,Not_Canceled
10019,DZ10020,Yes,2,1,plan 1,0,Type 1,2023,5,7,No,0,0,1235.0,Not_Canceled
10020,DZ10021,No,2,0,plan 1,0,Type 1,2022,10,9,No,0,0,770.0,Canceled
10021,DZ10022,No,1,1,plan 2,0,Type 1,2022,10,5,No,0,0,926.0,Not_Canceled
10022,DZ10023,No,2,0,plan 1,0,Type 1,2022,9,24,No,0,0,1070.0,Not_Canceled
10023,DZ10024,Yes,2,0,plan 1,0,Type 1,2023,2,20,No,0,0,589.3,Not_Canceled
10024,DZ10025,Yes,2,0,plan 1,0,Type 1,2022,12,29,No,0,0,720.0,Not_Canceled
10025,DZ10026,No,3,0,plan 2,0,Type 1,2023,3,25,No,0,0,1320.0,Canceled
10026,DZ10027,No,2,2,plan 1,0,Type 4,2023,4,4,No,0,0,1334.0,Canceled
10027,DZ10028,Yes,2,2,plan 1,0,Type 1,2022,9,5,No,0,0,870.0,Not_Canceled
10028,DZ10029,Yes,2,1,plan 1,0,Type 1,2023,12,7,No,0,0,770.0,Not_Canceled
10029,DZ10030,No,2,1,plan 1,0,Type 1,2023,6,27,No,0,0,1118.0,Not_Canceled
10030,DZ10031,Yes,2,1,plan 1,0,Type 4,2023,4,6,No,0,0,1142.0,Canceled
10031,DZ10032,Yes,2,0,plan 1,0,Type 1,2023,1,20,No,0,0,823.0,Not_Canceled
10032,DZ10033,Yes,2,0,not selected,0,Type 1,2023,12,16,No,0,0,812.0,Not_Canceled
10033,DZ10034,Yes,2,0,plan 1,0,Type 1,2023,9,11,No,0,0,1379.0,Not_Canceled
10034,DZ10035,Yes,2,2,plan 1,0,Type 1,2023,4,18,No,0,0,753.1999999999999,Not_Canceled
10036,DZ10037,Yes,2,0,plan 1,0,Type 1,2023,11,18,No,0,0,540.0,Canceled
10037,DZ10038,No,3,0,plan 1,0,Type 1,2023,4,4,No,0,0,1523.0,Not_Canceled
10039,DZ10040,No,2,1,plan 1,0,Type 1,2023,7,13,No,0,0,865.8,Not_Canceled
10040,DZ10041,No,2,0,plan 1,0,Type 1,2023,5,19,No,0,0,820.0,Canceled
10041,DZ10042,No,1,10,plan 1,0,Type 1,2022,10,11,No,0,0,970.0,Not_Canceled
10042,DZ10043,Yes,2,1,not selected,0,Type 1,2023,3,2,No,0,0,930.0,Not_Canceled
10043,DZ10044,Yes,2,1,plan 1,0,Type 1,2023,6,18,No,0,0,1430.0,Not_Canceled
10044,DZ10045,No,2,1,plan 1,0,Type 1,2023,10,20,No,0,0,820.1,Not_Canceled
10045,DZ10046,No,1,1,plan 2,0,Type 1,2023,9,17,No,0,0,1300.0,Canceled
10046,DZ10047,Yes,3,0,plan 1,0,Type 4,2023,9,22,No,0,0,1640.0,Not_Canceled
10047,DZ10048,Yes,1,1,plan 1,0,Type 1,2023,5,2,No,0,0,820.0,Not_Canceled
10048,DZ10049,No,2,1,plan 1,0,Type 1,2023,12,4,No,0,0,1057.0,Not_Canceled
10049,DZ10050,No,2,0,plan 1,0,Type 1,2023,6,2,No,0,0,1410.0,Not_Canceled
10050,DZ10051,No,1,2,plan 1,0,Type 1,2023,2,25,No,0,0,683.0,Canceled
10051,DZ10052,No,2,2,not selected,0,Type 1,2023,11,17,No,0,0,945.0,Canceled
10052,DZ10053,Yes,2,2,plan 1,0,Type 2,2023,5,5,No,0,0,1061.8000000000002,Not_Canceled
10053,DZ10054,Yes,2,0,plan 1,0,Type 1,2023,11,22,No,0,0,870.0,Not_Canceled
10055,DZ10056,No,1,2,plan 1,0,Type 2,2023,3,18,No,0,0,1050.0,Not_Canceled
10056,DZ10057,No,3,1,plan 1,0,Type 4,2023,6,1,No,0,0,1176.0,Canceled
10057,DZ10058,No,2,0,plan 1,0,Type 1,2023,5,16,No,0,0,827.5,Not_Canceled
10058,DZ10059,Yes,1,2,plan 1,0,Type 1,2022,9,21,No,0,0,615.0,Not_Canceled
10059,DZ10060,Yes,2,1,plan 1,0,Type 1,2023,11,15,No,0,0,666.7,Not_Canceled
10060,DZ10061,No,1,2,plan 1,0,Type 2,2023,9,8,No,0,0,1289.0,Canceled
10061,DZ10062,Yes,2,9,plan 1,0,Type 2,2022,8,13,No,0,0,785.0,Canceled
10062,DZ10063,Yes,2,1,plan 1,0,Type 1,2023,9,27,No,0,0,1620.0,Not_Canceled
10063,DZ10064,No,2,3,plan 1,0,Type 6,2023,8,27,No,0,0,1703.0,Canceled
10064,DZ10065,Yes,1,0,plan 1,0,Type 1,2023,11,27,No,0,0,781.2,Canceled
10065,DZ10066,No,1,0,plan 1,0,Type 1,2023,10,30,No,0,0,875.0,Not_Canceled
10066,DZ10067,Yes,1,1,plan 1,0,Type 1,2023,5,19,No,0,0,1370.0,Not_Canceled
10067,DZ10068,No,2,2,plan 2,0,Type 1,2023,9,21,No,0,0,1190.0,Canceled
10068,DZ10069,Yes,2,0,plan 1,0,Type 1,2023,2,7,No,0,0,950.0,Not_Canceled
10069,DZ10070,No,2,1,plan 1,0,Type 6,2023,10,4,No,0,0,1775.6,Not_Canceled
10071,DZ10072,Yes,2,2,plan 1,0,Type 1,2022,12,3,No,0,0,742.5,Canceled
10072,DZ10073,Yes,3,0,plan 1,0,Type 4,2023,3,19,No,0,0,1790.0,Not_Canceled
10073,DZ10074,No,2,1,plan 1,0,Type 1,2023,5,6,No,0,0,1023.0,Canceled
10074,DZ10075,Yes,2,0,plan 1,0,Type 1,2023,9,19,No,0,0,1218.5,Canceled
10075,DZ10076,Yes,1,1,not selected,0,Type 1,2023,9,12,No,0,0,910.0,Canceled
10076,DZ10077,Yes,2,1,plan 1,0,Type 4,2023,3,24,No,0,0,1334.8,Not_Canceled
10077,DZ10078,Yes,3,1,plan 1,0,Type 4,2023,8,3,No,0,0,1523.0,Not_Canceled
10078,DZ10079,No,1,0,plan 1,0,Type 1,2023,10,16,No,0,0,1170.0,Canceled
10079,DZ10080,No,2,1,plan 1,0,Type 1,2023,3,24,No,0,0,929.5,Canceled
10080,DZ10081,Yes,2,1,plan 1,1,Type 1,2022,9,15,No,0,0,1002.5,Not_Canceled
10081,DZ10082,Yes,2,0,plan 2,0,Type 1,2023,3,18,No,0,0,1490.0,Canceled
10082,DZ10083,No,1,1,not selected,0,Type 1,2023,10,13,No,0,0,1046.0,Not_Canceled
10083,DZ10084,Yes,1,0,plan 1,0,Type 1,2022,9,22,No,0,0,1136.5,Not_Canceled
10084,DZ10085,Yes,2,0,plan 1,0,Type 1,2022,11,26,No,0,0,990.0,Canceled
10085,DZ10086,Yes,3,0,plan 1,0,Type 4,2023,5,15,No,0,0,1524.5,Not_Canceled
10086,DZ10087,Yes,3,1,plan 1,0,Type 4,2023,11,18,No,0,0,1280.0,Not_Canceled
10087,DZ10088,Yes,1,2,plan 1,0,Type 1,2023,11,19,No,0,0,932.0,Canceled
10088,DZ10089,No,3,0,plan 1,0,Type 4,2022,10,28,No,0,0,1145.0,Not_Canceled
10089,DZ10090,Yes,2,2,plan 1,0,Type 4,2023,3,21,No,0,0,1205.0,Not_Canceled
10092,DZ10093,No,2,3,plan 1,0,Type 1,2023,3,24,No,0,0,1610.0,Not_Canceled
10093,DZ10094,No,3,1,plan 1,0,Type 4,2023,10,5,No,0,0,2032.5,Not_Canceled
10094,DZ10095,Yes,2,0,not selected,0,Type 1,2023,10,5,No,0,0,1100.0,Canceled
10095,DZ10096,No,2,0,plan 1,0,Type 1,2022,12,29,No,0,0,742.5,Not_Canceled
10096,DZ10097,Yes,1,2,plan 1,0,Type 1,2023,10,13,No,0,0,970.0,Not_Canceled
10097,DZ10098,Yes,2,2,not selected,0,Type 1,2023,11,23,No,0,0,923.3,Canceled
10098,DZ10099,No,1,0,plan 1,0,Type 1,2023,11,11,No,0,0,1140.0,Not_Canceled
10099,DZ10100,No,2,0,plan 1,0,Type 4,2023,11,6,No,0,0,1192.8,Not_Canceled
10100,DZ10101,No,2,2,not selected,0,Type 1,2022,9,9,No,0,0,1170.0,Not_Canceled
10101,DZ10102,Yes,2,0,plan 1,0,Type 1,2023,6,10,No,0,0,926.7,Not_Canceled
10102,DZ10103,No,2,1,not selected,0,Type 1,2023,5,6,No,0,0,965.0,Canceled
10103,DZ10104,No,2,1,plan 1,0,Type 4,2023,10,28,No,0,0,1470.0,Not_Canceled
10104,DZ10105,No,2,0,plan 1,0,Type 1,2022,8,18,No,0,0,1240.0,Not_Canceled
10105,DZ10106,Yes,1,2,plan 1,0,Type 1,2023,5,5,No,0,0,920.0,Canceled
10106,DZ10107,No,2,0,plan 1,0,Type 1,2023,11,19,No,0,0,1016.7,Not_Canceled
10107,DZ10108,No,2,0,plan 1,0,Type 1,2023,5,10,No,0,0,1442.0,Not_Canceled
10108,DZ10109,No,2,2,not selected,0,Type 1,2023,3,5,No,0,0,781.0,Not_Canceled
10109,DZ10110,Yes,2,1,plan 1,0,Type 1,2023,8,4,No,0,0,1379.0,Not_Canceled
10110,DZ10111,Yes,3,1,plan 1,1,Type 4,2023,8,9,No,0,0,1577.0,Not_Canceled
10111,DZ10112,Yes,3,2,plan 1,0,Type 1,2023,3,4,No,0,0,909.0,Not_Canceled
10112,DZ10113,No,2,2,not selected,0,Type 1,2023,8,28,No,0,0,1142.5,Not_Canceled
10113,DZ10114,No,2,1,plan 1,0,Type 1,2023,6,27,No,0,0,983.0,Not_Canceled
10114,DZ10115,No,2,1,plan 1,0,Type 1,2023,10,30,No,0,0,926.0,Not_Canceled
10115,DZ10116,Yes,2,0,not selected,0,Type 1,2023,11,17,No,0,0,900.0,Not_Canceled
10116,DZ10117,Yes,1,1,plan 1,0,Type 1,2022,10,10,No,0,0,20.0,Not_Canceled
10117,DZ10118,No,1,2,plan 1,0,Type 1,2023,7,1,No,0,0,929.0,Not_Canceled
10118,DZ10119,No,2,0,plan 1,0,Type 1,2023,5,19,No,0,0,1380.0,Not_Canceled
10119,DZ10120,No,2,2,plan 1,0,Type 4,2023,5,29,No,0,0,1133.5,Not_Canceled
10120,DZ10121,No,2,0,plan 1,1,Type 1,2023,11,1,No,0,0,1130.0,Not_Canceled
10121,DZ10122,Yes,2,2,plan 1,0,Type 1,2023,11,3,No,0,0,910.0,Canceled
10122,DZ10123,Yes,1,2,plan 1,0,Type 1,2023,1,27,No,0,0,20.0,Not_Canceled
10124,DZ10125,No,2,2,plan 1,0,Type 1,2023,4,15,No,0,0,1203.3,Not_Canceled
10125,DZ10126,No,1,0,plan 1,0,Type 1,2023,4,7,No,0,0,827.5,Canceled
10126,DZ10127,No,2,0,plan 2,0,Type 1,2023,7,21,No,0,0,1170.0,Canceled
10128,DZ10129,No,2,0,not selected,0,Type 1,2023,8,10,No,0,0,1271.0,Canceled
10129,DZ10130,No,1,0,plan 1,0,Type 4,2023,11,6,No,0,0,1478.0,Canceled
10130,DZ10131,No,2,2,plan 1,0,Type 1,2023,10,18,No,0,0,1208.0,Not_Canceled
10131,DZ10132,No,2,1,plan 1,0,Type 1,2023,3,19,No,0,0,955.0,Canceled
10132,DZ10133,Yes,2,1,plan 2,0,Type 1,2022,8,14,No,0,0,1110.0,Not_Canceled
10133,DZ10134,No,3,0,plan 1,0,Type 4,2023,8,23,No,0,0,1703.0,Not_Canceled
10134,DZ10135,No,1,1,plan 1,0,Type 1,2023,10,17,Yes,0,3,970.0,Not_Canceled
10135,DZ10136,No,2,1,plan 1,0,Type 4,2023,4,11,No,0,0,1166.3,Not_Canceled
10136,DZ10137,No,2,1,plan 1,0,Type 1,2023,2,17,No,0,0,770.0,Not_Canceled
10138,DZ10139,No,2,2,plan 2,0,Type 1,2023,2,17,No,0,0,1190.0,Not_Canceled
10139,DZ10140,Yes,2,0,plan 1,0,Type 1,2023,10,12,No,0,0,1120.0,Canceled
10140,DZ10141,Yes,2,1,plan 1,0,Type 1,2023,3,17,No,0,0,650.0,Not_Canceled
10141,DZ10142,Yes,2,1,not selected,0,Type 1,2023,8,9,No,0,0,1055.0,Not_Canceled
10142,DZ10143,Yes,1,0,plan 1,0,Type 1,2023,6,12,No,0,0,1220.0,Canceled
10143,DZ10144,Yes,2,0,plan 1,1,Type 7,2022,11,20,No,0,0,20.0,Not_Canceled
10144,DZ10145,No,1,1,plan 1,0,Type 1,2023,5,23,No,0,0,1170.0,Not_Canceled
10145,DZ10146,No,2,2,plan 2,0,Type 1,2022,10,12,No,0,0,1120.0,Canceled
10147,DZ10148,Yes,2,2,plan 1,0,Type 1,2023,5,20,No,0,0,1420.0,Not_Canceled
10148,DZ10149,No,2,1,plan 1,0,Type 1,2023,5,13,No,0,0,630.0,Canceled
10149,DZ10150,No,2,1,plan 1,0,Type 1,2023,4,26,No,0,0,983.0,Not_Canceled
10150,DZ10151,Yes,2,0,not selected,0,Type 1,2023,5,7,No,0,0,1181.0,Canceled
10151,DZ10152,Yes,2,1,plan 2,0,Type 1,2023,8,15,No,0,0,1788.5,Canceled
10152,DZ10153,Yes,2,0,plan 2,0,Type 1,2022,9,17,No,0,0,840.0,Not_Canceled
10153,DZ10154,Yes,2,2,plan 1,0,Type 1,2022,10,6,No,0,0,1278.3,Not_Canceled
10154,DZ10155,No,1,2,plan 1,0,Type 1,2022,12,10,No,0,0,670.0,Not_Canceled
10155,DZ10156,No,1,2,plan 1,0,Type 1,2022,9,4,No,0,0,786.7,Not_Canceled
10156,DZ10157,Yes,1,2,not selected,0,Type 1,2022,10,14,No,0,0,1160.0,Not_Canceled
10157,DZ10158,No,2,1,plan 1,0,Type 1,2023,9,9,No,0,0,1379.0,Not_Canceled
10158,DZ10159,No,1,2,plan 1,0,Type 1,2023,4,18,Yes,1,14,690.0,Not_Canceled
10159,DZ10160,Yes,2,3,not selected,0,Type 1,2023,11,30,No,0,0,724.0,Not_Canceled
10160,DZ10161,No,2,0,plan 1,0,Type 1,2022,10,9,No,0,0,747.5,Not_Canceled
10161,DZ10162,No,3,2,plan 2,0,Type 4,2023,8,15,No,0,0,1819.2,Canceled
10162,DZ10163,Yes,2,2,plan 1,0,Type 1,2023,9,27,No,0,0,1054.6,Canceled
10163,DZ10164,Yes,2,1,plan 1,0,Type 1,2023,9,17,No,0,0,1543.3000000000002,Not_Canceled
10164,DZ10165,Yes,2,1,plan 1,0,Type 4,2023,5,15,No,0,0,851.2,Not_Canceled
10165,DZ10166,Yes,2,0,plan 1,0,Type 1,2023,5,29,No,0,0,920.0,Canceled
10167,DZ10168,No,3,2,plan 1,0,Type 1,2023,8,21,No,0,0,989.0,Not_Canceled
10168,DZ10169,No,2,1,plan 1,0,Type 4,2023,12,15,No,0,0,893.0,Canceled
10169,DZ10170,No,2,0,plan 1,0,Type 1,2023,1,7,No,0,0,893.1999999999999,Not_Canceled
10170,DZ10171,Yes,2,1,plan 1,0,Type 2,2022,11,4,No,0,0,1075.0,Not_Canceled
10171,DZ10172,Yes,1,0,plan 1,0,Type 4,2023,6,13,No,0,0,1067.2,Not_Canceled
10172,DZ10173,No,3,2,plan 1,0,Type 4,2023,12,26,No,0,0,1136.9,Not_Canceled
10173,DZ10174,No,2,0,plan 2,0,Type 1,2023,7,24,No,0,0,1252.5,Canceled
10174,DZ10175,Yes,2,1,plan 1,0,Type 1,2023,6,20,No,0,0,1220.0,Canceled
10175,DZ10176,No,2,2,plan 1,0,Type 1,2023,7,1,No,0,0,1610.0,Not_Canceled
10176,DZ10177,No,2,1,plan 2,0,Type 1,2022,9,18,No,0,0,1035.0,Not_Canceled
10177,DZ10178,No,2,0,not selected,0,Type 1,2022,7,20,No,0,0,486.6,Not_Canceled
10178,DZ10179,Yes,2,0,not selected,0,Type 1,2023,4,17,No,0,0,701.4,Not_Canceled
10179,DZ10180,Yes,2,1,plan 1,0,Type 1,2023,5,2,No,0,0,1289.0,Not_Canceled
10180,DZ10181,Yes,2,2,plan 1,0,Type 1,2023,7,7,No,0,0,929.5,Not_Canceled
10181,DZ10182,Yes,2,3,plan 1,0,Type 6,2023,10,10,No,0,0,1928.0,Not_Canceled
10182,DZ10183,Yes,1,1,not selected,0,Type 1,2023,3,31,No,0,0,1091.0,Canceled
10183,DZ10184,No,2,2,plan 1,0,Type 4,2023,8,14,No,0,0,1348.0,Not_Canceled
10184,DZ10185,Yes,2,4,plan 1,0,Type 6,2022,8,27,No,0,0,1550.0,Not_Canceled
10185,DZ10186,No,2,1,plan 2,0,Type 4,2023,5,20,No,0,0,1766.0,Canceled
10186,DZ10187,Yes,1,0,plan 1,0,Type 4,2023,6,14,No,0,0,920.0,Not_Canceled
10187,DZ10188,No,2,2,plan 1,1,Type 4,2023,6,8,No,0,0,1500.0,Not_Canceled
10188,DZ10189,Yes,1,0,plan 1,0,Type 4,2023,6,14,No,0,0,1104.2,Not_Canceled
10189,DZ10190,No,1,0,plan 1,0,Type 1,2023,10,3,Yes,1,5,970.0,Not_Canceled
10190,DZ10191,Yes,2,4,plan 1,0,Type 6,2023,9,22,No,0,0,2227.3,Canceled
10191,DZ10192,Yes,2,0,plan 1,0,Type 1,2023,8,29,No,0,0,983.0,Canceled
10192,DZ10193,No,2,2,plan 1,0,Type 1,2023,12,17,No,0,0,740.0,Not_Canceled
10193,DZ10194,No,2,0,plan 1,1,Type 1,2022,8,5,No,0,0,875.0,Not_Canceled
10194,DZ10195,No,2,1,not selected,0,Type 1,2023,5,25,No,0,0,1010.0,Not_Canceled
10195,DZ10196,No,2,1,plan 1,0,Type 1,2022,11,27,No,0,0,570.0,Not_Canceled
10196,DZ10197,No,2,2,plan 1,0,Type 7,2023,8,21,No,0,0,2073.8,Not_Canceled
10197,DZ10198,No,2,0,plan 1,0,Type 4,2023,1,1,No,0,0,640.0,Not_Canceled
10198,DZ10199,Yes,2,0,plan 1,0,Type 1,2023,3,19,No,0,0,1156.7,Canceled
10199,DZ10200,No,2,2,plan 2,0,Type 1,2023,6,24,No,0,0,1170.0,Canceled
10200,DZ10201,No,2,2,plan 1,0,Type 6,2023,7,6,No,0,0,2330.0,Not_Canceled
10201,DZ10202,Yes,2,1,plan 1,0,Type 4,2023,5,29,No,0,0,1613.0,Canceled
10202,DZ10203,No,2,3,not selected,0,Type 6,2022,8,8,No,0,0,1550.0,Not_Canceled
10203,DZ10204,Yes,2,2,plan 2,0,Type 6,2023,9,2,No,0,0,2351.0,Not_Canceled
10204,DZ10205,Yes,2,0,not selected,0,Type 1,2023,5,8,No,0,0,910.0,Not_Canceled
10205,DZ10206,Yes,2,2,plan 1,0,Type 1,2023,6,26,No,0,0,792.3000000000001,Not_Canceled
10206,DZ10207,Yes,2,2,plan 1,0,Type 1,2022,11,23,No,0,0,670.0,Not_Canceled
10207,DZ10208,No,2,0,plan 1,0,Type 1,2022,12,3,No,0,0,742.5,Not_Canceled
10208,DZ10209,Yes,2,0,plan 2,0,Type 1,2022,8,29,No,0,0,965.0,Not_Canceled
10209,DZ10210,No,3,0,plan 1,0,Type 4,2023,6,28,No,0,0,1487.0,Not_Canceled
10210,DZ10211,No,2,0,plan 1,0,Type 1,2022,10,17,No,0,0,690.0,Not_Canceled
10211,DZ10212,Yes,3,0,plan 1,0,Type 4,2023,3,10,No,0,0,1209.6,Canceled
10212,DZ10213,No,2,1,plan 1,0,Type 1,2023,3,25,No,0,0,1020.0,Canceled
10213,DZ10214,Yes,1,1,plan 1,0,Type 1,2023,1,25,No,0,0,30.0,Not_Canceled
10214,DZ10215,No,1,1,plan 2,0,Type 2,2022,8,1,No,0,0,827.5,Not_Canceled
10215,DZ10216,Yes,3,1,plan 1,0,Type 1,2023,2,6,No,0,0,1320.0,Not_Canceled
10216,DZ10217,No,2,1,not selected,0,Type 1,2023,5,6,No,0,0,870.0,Not_Canceled
10217,DZ10218,Yes,2,2,plan 1,0,Type 1,2023,6,17,No,0,0,740.0,Canceled
10218,DZ10219,No,1,1,plan 2,0,Type 1,2022,8,14,No,0,0,20.0,Not_Canceled
10219,DZ10220,No,2,1,plan 1,0,Type 1,2023,9,7,No,0,0,1167.3,Not_Canceled
10220,DZ10221,No,2,0,plan 1,0,Type 1,2023,11,22,No,0,0,1130.0,Canceled
10221,DZ10222,Yes,2,2,plan 1,0,Type 1,2023,9,21,No,0,0,410.0,Not_Canceled
10222,DZ10223,Yes,1,1,plan 1,0,Type 1,2023,11,1,No,0,0,1120.0,Canceled
10223,DZ10224,Yes,2,2,plan 1,0,Type 1,2023,2,17,No,0,0,770.0,Not_Canceled
10224,DZ10225,No,2,1,plan 1,1,Type 1,2022,11,3,No,0,0,980.0,Not_Canceled
10225,DZ10226,No,2,0,not selected,0,Type 1,2023,10,26,No,0,0,821.0,Canceled
10226,DZ10227,Yes,2,1,plan 1,0,Type 1,2023,8,13,No,0,0,1653.3000000000002,Not_Canceled
10227,DZ10228,Yes,2,2,plan 1,1,Type 1,2023,1,8,No,0,0,893.0,Not_Canceled
10228,DZ10229,No,2,2,plan 1,0,Type 1,2023,10,21,No,0,0,1420.0,Not_Canceled
10229,DZ10230,No,1,1,plan 1,0,Type 1,2023,2,28,No,0,0,620.0,Canceled
10230,DZ10231,No,1,1,plan 1,0,Type 1,2023,11,28,No,0,0,1003.3,Not_Canceled
10231,DZ10232,No,3,1,plan 1,0,Type 7,2023,8,10,No,0,0,2331.5,Not_Canceled
10232,DZ10233,No,2,2,plan 1,0,Type 1,2022,9,18,No,0,0,912.5,Canceled
10233,DZ10234,No,2,1,plan 1,0,Type 1,2023,10,3,No,0,0,822.4,Canceled
10234,DZ10235,Yes,1,2,plan 1,0,Type 1,2022,11,17,No,0,0,640.0,Not_Canceled
10235,DZ10236,No,2,0,plan 1,0,Type 4,2023,10,22,No,0,0,1183.6,Not_Canceled
10236,DZ10237,Yes,2,2,plan 2,0,Type 6,2023,8,28,No,0,0,2283.5,Canceled
10237,DZ10238,No,2,3,plan 2,1,Type 1,2023,7,10,No,0,0,1972.5,Not_Canceled
10238,DZ10239,No,2,0,plan 1,0,Type 1,2023,11,10,No,0,0,1266.0,Not_Canceled
10239,DZ10240,Yes,2,1,not selected,0,Type 1,2023,6,20,No,0,0,1010.0,Not_Canceled
10240,DZ10241,Yes,2,2,not selected,0,Type 1,2023,7,16,No,0,0,776.0,Canceled
10241,DZ10242,No,2,0,plan 1,0,Type 1,2023,9,5,No,0,0,1082.0,Canceled
10242,DZ10243,No,2,0,plan 1,0,Type 1,2023,11,16,No,0,0,860.0,Not_Canceled
10243,DZ10244,Yes,2,1,plan 1,0,Type 4,2023,3,10,No,0,0,938.0,Canceled
10244,DZ10245,Yes,1,2,not selected,0,Type 1,2023,6,21,No,0,0,1310.0,Not_Canceled
10245,DZ10246,Yes,1,0,not selected,0,Type 1,2023,6,2,No,0,0,870.0,Not_Canceled
10246,DZ10247,Yes,2,0,plan 1,0,Type 1,2022,11,11,No,0,0,929.5,Not_Canceled
10247,DZ10248,Yes,2,1,plan 1,0,Type 1,2023,11,3,No,0,0,910.0,Canceled
10248,DZ10249,No,1,1,plan 1,1,Type 1,2023,11,23,No,0,0,670.0,Not_Canceled
10249,DZ10250,No,2,0,plan 1,0,Type 4,2023,10,22,No,0,0,1231.4,Canceled
10250,DZ10251,Yes,2,0,plan 1,0,Type 1,2023,10,31,No,0,0,702.3000000000001,Not_Canceled
10251,DZ10252,Yes,2,2,not selected,0,Type 1,2023,2,14,No,0,0,792.3000000000001,Canceled
10252,DZ10253,Yes,2,2,plan 1,0,Type 1,2023,5,20,No,0,0,1020.0,Canceled
10253,DZ10254,No,1,1,plan 1,0,Type 1,2023,2,28,No,0,0,780.0,Not_Canceled
10254,DZ10255,Yes,2,2,plan 1,0,Type 7,2023,10,15,No,0,0,2516.3,Not_Canceled
10255,DZ10256,Yes,3,0,plan 1,0,Type 6,2023,9,18,No,0,0,1520.2,Canceled
10256,DZ10257,No,1,2,plan 1,0,Type 1,2022,9,8,No,0,0,1160.0,Not_Canceled
10257,DZ10258,No,2,1,plan 2,0,Type 1,2022,9,18,No,0,0,1035.0,Not_Canceled
10258,DZ10259,Yes,2,2,plan 1,0,Type 1,2023,10,27,No,0,0,775.4000000000001,Not_Canceled
10259,DZ10260,Yes,2,1,not selected,0,Type 1,2023,10,2,No,0,0,1100.0,Not_Canceled
10260,DZ10261,Yes,3,0,plan 1,0,Type 4,2023,4,9,No,0,0,1602.0,Canceled
10261,DZ10262,Yes,2,1,not selected,0,Type 1,2023,9,5,No,0,0,1208.0,Canceled
10262,DZ10263,No,3,2,plan 1,0,Type 1,2023,7,14,No,0,0,989.0,Not_Canceled
10263,DZ10264,Yes,2,3,not selected,0,Type 1,2023,7,14,No,0,0,905.6,Not_Canceled
10264,DZ10265,Yes,1,2,plan 1,0,Type 1,2022,10,2,No,0,0,1020.0,Not_Canceled
10265,DZ10266,No,2,0,plan 1,0,Type 1,2022,12,29,No,0,0,720.0,Not_Canceled
10266,DZ10267,Yes,1,2,plan 1,0,Type 1,2022,10,6,Yes,1,0,820.0,Not_Canceled
10267,DZ10268,Yes,2,0,not selected,0,Type 1,2023,4,16,No,0,0,910.0,Not_Canceled
10268,DZ10269,No,2,1,plan 2,0,Type 1,2022,10,16,No,0,0,1110.0,Not_Canceled
10269,DZ10270,Yes,2,1,not selected,0,Type 1,2023,7,12,No,0,0,965.0,Canceled
10270,DZ10271,No,2,1,plan 1,0,Type 1,2022,9,17,No,0,0,1136.0,Not_Canceled
10271,DZ10272,No,1,0,plan 1,0,Type 1,2023,4,30,No,0,0,1355.0,Not_Canceled
10272,DZ10273,No,1,2,plan 1,0,Type 1,2023,7,18,No,0,0,870.0,Not_Canceled
10273,DZ10274,No,2,2,plan 1,0,Type 4,2023,4,20,No,0,0,1298.0,Canceled
10275,DZ10276,No,2,0,plan 1,0,Type 1,2023,10,22,No,0,0,929.5,Not_Canceled
10277,DZ10278,No,1,0,plan 1,0,Type 4,2023,3,8,No,0,0,770.0,Not_Canceled
10278,DZ10279,Yes,2,0,plan 1,0,Type 4,2023,9,24,No,0,0,1514.0,Not_Canceled
10280,DZ10281,No,1,0,plan 1,0,Type 1,2022,11,26,No,0,0,483.3,Not_Canceled
10281,DZ10282,Yes,2,1,plan 1,0,Type 1,2023,1,30,No,0,0,1030.0,Not_Canceled
10282,DZ10283,Yes,1,2,not selected,0,Type 1,2023,9,23,No,0,0,1510.0,Not_Canceled
10283,DZ10284,No,2,0,not selected,0,Type 1,2023,8,13,No,0,0,1410.0,Not_Canceled
10284,DZ10285,No,2,0,plan 1,0,Type 4,2023,12,7,No,0,0,1018.8,Not_Canceled
10285,DZ10286,No,1,2,plan 1,0,Type 1,2023,5,18,No,0,0,20.0,Not_Canceled
10286,DZ10287,No,2,2,plan 1,0,Type 1,2023,8,21,No,0,0,742.5,Not_Canceled
10287,DZ10288,Yes,2,0,plan 1,0,Type 4,2023,5,29,No,0,0,1193.0,Not_Canceled
10288,DZ10289,Yes,1,2,plan 2,0,Type 1,2022,10,16,No,0,0,820.0,Canceled
10289,DZ10290,Yes,1,0,plan 1,0,Type 1,2023,6,24,No,0,0,970.0,Not_Canceled
10290,DZ10291,No,1,2,plan 1,0,Type 1,2023,10,17,No,0,0,970.0,Not_Canceled
10291,DZ10292,No,2,1,not selected,0,Type 1,2023,10,17,No,0,0,1100.0,Not_Canceled
10292,DZ10293,Yes,1,0,plan 2,0,Type 1,2023,7,21,No,0,0,920.0,Not_Canceled
10293,DZ10294,No,2,0,not selected,0,Type 1,2023,7,25,No,0,0,965.0,Not_Canceled
